% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
11.602	1	2	2	5324.78	0
11.603	1	3	3	5324.73	0
11.641	1	1	1	5324.42	0
11.642	1	2	2	5324.77	0
11.643	1	3	3	5324.73	0
11.681	1	1	1	5324.42	0
11.682	1	2	2	5324.77	0
11.683	1	3	3	5324.73	0
11.721	1	1	1	5324.41	0
11.722	1	2	2	5324.76	0
11.723	1	3	3	5324.73	0
11.761	1	1	1	5324.41	0
11.762	1	2	2	5324.75	0
11.763	1	3	3	5324.73	0
11.801	1	1	1	5324.41	0
11.802	1	2	2	5324.75	0
11.803	1	3	3	5324.73	0
11.841	1	1	1	5324.41	0
11.842	1	2	2	5324.74	0
11.843	1	3	3	5324.73	0
11.881	1	1	1	5324.41	0
11.882	1	2	2	5324.74	0
11.883	1	3	3	5324.73	0
11.921	1	1	1	5324.41	0
11.922	1	2	2	5324.73	0
11.923	1	3	3	5324.73	0
11.961	1	1	1	5324.41	0
11.962	1	2	2	5324.72	0
11.963	1	3	3	5324.73	0
12.001	1	1	1	5324.39	0
12.002	1	2	2	5324.19	0
12.003	1	3	3	5325.14	0
12.041	1	1	1	5324.37	0
12.042	1	2	2	5323.99	0
12.043	1	3	3	5325.2	0
12.081	1	1	1	5324.37	0
12.082	1	2	2	5323.98	0
12.083	1	3	3	5325.2	0
12.121	1	1	1	5324.37	0
12.122	1	2	2	5323.98	0
12.123	1	3	3	5325.2	0
12.161	1	1	1	5324.37	0
12.162	1	2	2	5323.97	0
12.163	1	3	3	5325.2	0
12.201	1	1	1	5324.36	0
12.202	1	2	2	5323.96	0
12.203	1	3	3	5325.2	0
12.241	1	1	1	5324.36	0
12.242	1	2	2	5323.95	0
12.243	1	3	3	5325.2	0
12.281	1	1	1	5324.36	0
12.282	1	2	2	5323.94	0
12.283	1	3	3	5325.2	0
12.321	1	1	1	5324.36	0
12.322	1	2	2	5323.93	0
12.323	1	3	3	5325.2	0
12.361	1	1	1	5324.36	0
12.362	1	2	2	5323.92	0
12.363	1	3	3	5325.21	0
12.401	1	1	1	5324.35	0
12.402	1	2	2	5323.92	0
12.403	1	3	3	5325.21	0
12.441	1	1	1	5324.35	0
12.442	1	2	2	5323.91	0
12.443	1	3	3	5325.21	0
12.481	1	1	1	5324.35	0
12.482	1	2	2	5323.9	0
12.483	1	3	3	5325.21	0
12.521	1	1	1	5324.35	0
12.522	1	2	2	5323.89	0
12.523	1	3	3	5325.21	0
12.561	1	1	1	5324.35	0
12.562	1	2	2	5323.88	0
12.563	1	3	3	5325.21	0
12.601	1	1	1	5324.34	0
12.602	1	2	2	5323.87	0
12.603	1	3	3	5325.21	0
12.641	1	1	1	5324.34	0
12.642	1	2	2	5323.87	0
12.643	1	3	3	5325.21	0
12.681	1	1	1	5324.34	0
12.682	1	2	2	5323.86	0
12.683	1	3	3	5325.21	0
12.721	1	1	1	5324.34	0
12.722	1	2	2	5323.85	0
12.723	1	3	3	5325.21	0
12.761	1	1	1	5324.34	0
12.762	1	2	2	5323.84	0
12.763	1	3	3	5325.21	0
12.801	1	1	1	5324.33	0
12.802	1	2	2	5323.84	0
12.803	1	3	3	5325.21	0
12.841	1	1	1	5324.33	0
12.842	1	2	2	5323.83	0
12.843	1	3	3	5325.21	0
12.881	1	1	1	5324.33	0
12.882	1	2	2	5323.82	0
12.883	1	3	3	5325.22	0
12.921	1	1	1	5324.33	0
12.922	1	2	2	5323.81	0
12.923	1	3	3	5325.22	0
12.961	1	1	1	5324.33	0
12.962	1	2	2	5323.81	0
12.963	1	3	3	5325.22	0
13.001	1	1	1	5324.33	0
13.002	1	2	2	5323.8	0
13.003	1	3	3	5325.22	0
13.041	1	1	1	5324.32	0
13.042	1	2	2	5323.79	0
13.043	1	3	3	5325.22	0
13.081	1	1	1	5324.32	0
13.082	1	2	2	5323.78	0
13.083	1	3	3	5325.22	0
13.121	1	1	1	5324.32	0
13.122	1	2	2	5323.78	0
13.123	1	3	3	5325.22	0
13.161	1	1	1	5324.32	0
13.162	1	2	2	5323.77	0
13.163	1	3	3	5325.22	0
13.201	1	1	1	5324.32	0
13.202	1	2	2	5323.76	0
13.203	1	3	3	5325.22	0
13.241	1	1	1	5324.31	0
13.242	1	2	2	5323.76	0
13.243	1	3	3	5325.22	0
13.281	1	1	1	5324.31	0
13.282	1	2	2	5323.75	0
13.283	1	3	3	5325.22	0
13.321	1	1	1	5324.31	0
13.322	1	2	2	5323.74	0
13.323	1	3	3	5325.22	0
13.361	1	1	1	5324.31	0
13.362	1	2	2	5323.74	0
13.363	1	3	3	5325.22	0
13.401	1	1	1	5324.31	0
13.402	1	2	2	5323.73	0
13.403	1	3	3	5325.22	0
13.441	1	1	1	5324.31	0
13.442	1	2	2	5323.72	0
13.443	1	3	3	5325.23	0
13.481	1	1	1	5324.3	0
13.482	1	2	2	5323.72	0
13.483	1	3	3	5325.23	0
13.521	1	1	1	5324.3	0
13.522	1	2	2	5323.71	0
13.523	1	3	3	5325.23	0
13.561	1	1	1	5324.3	0
13.562	1	2	2	5323.7	0
13.563	1	3	3	5325.23	0
13.601	1	1	1	5324.3	0
13.602	1	2	2	5323.7	0
13.603	1	3	3	5325.23	0
13.641	1	1	1	5324.3	0
13.642	1	2	2	5323.69	0
13.643	1	3	3	5325.23	0
13.681	1	1	1	5324.3	0
13.682	1	2	2	5323.68	0
13.683	1	3	3	5325.23	0
13.721	1	1	1	5324.29	0
13.722	1	2	2	5323.68	0
13.723	1	3	3	5325.23	0
13.761	1	1	1	5324.29	0
13.762	1	2	2	5323.67	0
13.763	1	3	3	5325.23	0
